,version,version_season,season_name,season,episode,castaway,castaway_id,confessional_count,confessional_time
0,AU,AU01,Survivor Australia: 2016,1.0,1.0,Des,AU0001,11.0,
1,AU,AU01,Survivor Australia: 2016,1.0,1.0,Bianca,AU0002,2.0,
2,AU,AU01,Survivor Australia: 2016,1.0,1.0,Evan,AU0003,4.0,
3,AU,AU01,Survivor Australia: 2016,1.0,1.0,Peter,AU0004,0.0,
4,AU,AU01,Survivor Australia: 2016,1.0,1.0,Barry,AU0005,0.0,
5,AU,AU01,Survivor Australia: 2016,1.0,1.0,Tegan,AU0006,0.0,
6,AU,AU01,Survivor Australia: 2016,1.0,1.0,Rohan,AU0007,6.0,
7,AU,AU01,Survivor Australia: 2016,1.0,1.0,Kat,AU0008,10.0,
8,AU,AU01,Survivor Australia: 2016,1.0,1.0,Andrew,AU0009,2.0,
9,AU,AU01,Survivor Australia: 2016,1.0,1.0,Craig,AU0010,3.0,
10,AU,AU01,Survivor Australia: 2016,1.0,1.0,Phoebe,AU0011,1.0,
11,AU,AU01,Survivor Australia: 2016,1.0,1.0,Conner,AU0012,4.0,
12,AU,AU01,Survivor Australia: 2016,1.0,1.0,Kate,AU0013,0.0,
13,AU,AU01,Survivor Australia: 2016,1.0,1.0,Nick,AU0014,6.0,
14,AU,AU01,Survivor Australia: 2016,1.0,1.0,Kylie,AU0015,3.0,
15,AU,AU01,Survivor Australia: 2016,1.0,1.0,Sue,AU0016,1.0,
16,AU,AU01,Survivor Australia: 2016,1.0,1.0,Jennah-Louise,AU0017,2.0,
17,AU,AU01,Survivor Australia: 2016,1.0,1.0,Brooke,AU0018,0.0,
18,AU,AU01,Survivor Australia: 2016,1.0,1.0,Sam,AU0019,4.0,
19,AU,AU01,Survivor Australia: 2016,1.0,1.0,Matt,AU0020,2.0,
20,AU,AU01,Survivor Australia: 2016,1.0,1.0,Flick,AU0021,4.0,
21,AU,AU01,Survivor Australia: 2016,1.0,1.0,El,AU0022,3.0,
22,AU,AU01,Survivor Australia: 2016,1.0,1.0,Lee,AU0023,4.0,
23,AU,AU01,Survivor Australia: 2016,1.0,1.0,Kristie,AU0024,3.0,
24,AU,AU01,Survivor Australia: 2016,1.0,2.0,Bianca,AU0002,6.0,
25,AU,AU01,Survivor Australia: 2016,1.0,2.0,Evan,AU0003,4.0,
26,AU,AU01,Survivor Australia: 2016,1.0,2.0,Peter,AU0004,5.0,
27,AU,AU01,Survivor Australia: 2016,1.0,2.0,Barry,AU0005,1.0,
28,AU,AU01,Survivor Australia: 2016,1.0,2.0,Tegan,AU0006,0.0,
29,AU,AU01,Survivor Australia: 2016,1.0,2.0,Rohan,AU0007,0.0,
30,AU,AU01,Survivor Australia: 2016,1.0,2.0,Kat,AU0008,3.0,
31,AU,AU01,Survivor Australia: 2016,1.0,2.0,Andrew,AU0009,0.0,
32,AU,AU01,Survivor Australia: 2016,1.0,2.0,Craig,AU0010,1.0,
33,AU,AU01,Survivor Australia: 2016,1.0,2.0,Phoebe,AU0011,2.0,
34,AU,AU01,Survivor Australia: 2016,1.0,2.0,Conner,AU0012,3.0,
35,AU,AU01,Survivor Australia: 2016,1.0,2.0,Kate,AU0013,3.0,
36,AU,AU01,Survivor Australia: 2016,1.0,2.0,Nick,AU0014,3.0,
37,AU,AU01,Survivor Australia: 2016,1.0,2.0,Kylie,AU0015,5.0,
38,AU,AU01,Survivor Australia: 2016,1.0,2.0,Sue,AU0016,0.0,
39,AU,AU01,Survivor Australia: 2016,1.0,2.0,Jennah-Louise,AU0017,1.0,
40,AU,AU01,Survivor Australia: 2016,1.0,2.0,Brooke,AU0018,0.0,
41,AU,AU01,Survivor Australia: 2016,1.0,2.0,Sam,AU0019,1.0,
42,AU,AU01,Survivor Australia: 2016,1.0,2.0,Matt,AU0020,2.0,
43,AU,AU01,Survivor Australia: 2016,1.0,2.0,Flick,AU0021,4.0,
44,AU,AU01,Survivor Australia: 2016,1.0,2.0,El,AU0022,1.0,
45,AU,AU01,Survivor Australia: 2016,1.0,2.0,Lee,AU0023,2.0,
46,AU,AU01,Survivor Australia: 2016,1.0,2.0,Kristie,AU0024,5.0,
47,AU,AU01,Survivor Australia: 2016,1.0,3.0,Evan,AU0003,15.0,
48,AU,AU01,Survivor Australia: 2016,1.0,3.0,Peter,AU0004,2.0,
49,AU,AU01,Survivor Australia: 2016,1.0,3.0,Barry,AU0005,0.0,
50,AU,AU01,Survivor Australia: 2016,1.0,3.0,Tegan,AU0006,2.0,
51,AU,AU01,Survivor Australia: 2016,1.0,3.0,Rohan,AU0007,6.0,
52,AU,AU01,Survivor Australia: 2016,1.0,3.0,Kat,AU0008,4.0,
53,AU,AU01,Survivor Australia: 2016,1.0,3.0,Andrew,AU0009,1.0,
54,AU,AU01,Survivor Australia: 2016,1.0,3.0,Craig,AU0010,1.0,
55,AU,AU01,Survivor Australia: 2016,1.0,3.0,Phoebe,AU0011,9.0,
56,AU,AU01,Survivor Australia: 2016,1.0,3.0,Conner,AU0012,0.0,
57,AU,AU01,Survivor Australia: 2016,1.0,3.0,Kate,AU0013,0.0,
58,AU,AU01,Survivor Australia: 2016,1.0,3.0,Nick,AU0014,7.0,
59,AU,AU01,Survivor Australia: 2016,1.0,3.0,Kylie,AU0015,4.0,
60,AU,AU01,Survivor Australia: 2016,1.0,3.0,Sue,AU0016,0.0,
61,AU,AU01,Survivor Australia: 2016,1.0,3.0,Jennah-Louise,AU0017,1.0,
62,AU,AU01,Survivor Australia: 2016,1.0,3.0,Brooke,AU0018,3.0,
63,AU,AU01,Survivor Australia: 2016,1.0,3.0,Sam,AU0019,2.0,
64,AU,AU01,Survivor Australia: 2016,1.0,3.0,Matt,AU0020,2.0,
65,AU,AU01,Survivor Australia: 2016,1.0,3.0,Flick,AU0021,0.0,
66,AU,AU01,Survivor Australia: 2016,1.0,3.0,El,AU0022,7.0,
67,AU,AU01,Survivor Australia: 2016,1.0,3.0,Lee,AU0023,0.0,
68,AU,AU01,Survivor Australia: 2016,1.0,3.0,Kristie,AU0024,0.0,
69,AU,AU01,Survivor Australia: 2016,1.0,4.0,Peter,AU0004,5.0,
70,AU,AU01,Survivor Australia: 2016,1.0,4.0,Barry,AU0005,0.0,
71,AU,AU01,Survivor Australia: 2016,1.0,4.0,Tegan,AU0006,0.0,
72,AU,AU01,Survivor Australia: 2016,1.0,4.0,Rohan,AU0007,5.0,
73,AU,AU01,Survivor Australia: 2016,1.0,4.0,Kat,AU0008,6.0,
74,AU,AU01,Survivor Australia: 2016,1.0,4.0,Andrew,AU0009,0.0,
75,AU,AU01,Survivor Australia: 2016,1.0,4.0,Craig,AU0010,4.0,
76,AU,AU01,Survivor Australia: 2016,1.0,4.0,Phoebe,AU0011,12.0,
77,AU,AU01,Survivor Australia: 2016,1.0,4.0,Conner,AU0012,0.0,
78,AU,AU01,Survivor Australia: 2016,1.0,4.0,Kate,AU0013,3.0,
79,AU,AU01,Survivor Australia: 2016,1.0,4.0,Nick,AU0014,2.0,
80,AU,AU01,Survivor Australia: 2016,1.0,4.0,Kylie,AU0015,5.0,
81,AU,AU01,Survivor Australia: 2016,1.0,4.0,Sue,AU0016,2.0,
82,AU,AU01,Survivor Australia: 2016,1.0,4.0,Jennah-Louise,AU0017,1.0,
83,AU,AU01,Survivor Australia: 2016,1.0,4.0,Brooke,AU0018,2.0,
84,AU,AU01,Survivor Australia: 2016,1.0,4.0,Sam,AU0019,0.0,
85,AU,AU01,Survivor Australia: 2016,1.0,4.0,Matt,AU0020,2.0,
86,AU,AU01,Survivor Australia: 2016,1.0,4.0,Flick,AU0021,0.0,
87,AU,AU01,Survivor Australia: 2016,1.0,4.0,El,AU0022,1.0,
88,AU,AU01,Survivor Australia: 2016,1.0,4.0,Lee,AU0023,2.0,
89,AU,AU01,Survivor Australia: 2016,1.0,4.0,Kristie,AU0024,0.0,
90,AU,AU01,Survivor Australia: 2016,1.0,5.0,Barry,AU0005,2.0,
91,AU,AU01,Survivor Australia: 2016,1.0,5.0,Tegan,AU0006,0.0,
92,AU,AU01,Survivor Australia: 2016,1.0,5.0,Rohan,AU0007,0.0,
93,AU,AU01,Survivor Australia: 2016,1.0,5.0,Kat,AU0008,4.0,
94,AU,AU01,Survivor Australia: 2016,1.0,5.0,Andrew,AU0009,1.0,
95,AU,AU01,Survivor Australia: 2016,1.0,5.0,Craig,AU0010,0.0,
96,AU,AU01,Survivor Australia: 2016,1.0,5.0,Phoebe,AU0011,2.0,
97,AU,AU01,Survivor Australia: 2016,1.0,5.0,Conner,AU0012,1.0,
98,AU,AU01,Survivor Australia: 2016,1.0,5.0,Kate,AU0013,1.0,
99,AU,AU01,Survivor Australia: 2016,1.0,5.0,Nick,AU0014,7.0,
100,AU,AU01,Survivor Australia: 2016,1.0,5.0,Kylie,AU0015,3.0,
101,AU,AU01,Survivor Australia: 2016,1.0,5.0,Sue,AU0016,1.0,
102,AU,AU01,Survivor Australia: 2016,1.0,5.0,Jennah-Louise,AU0017,6.0,
103,AU,AU01,Survivor Australia: 2016,1.0,5.0,Brooke,AU0018,3.0,
104,AU,AU01,Survivor Australia: 2016,1.0,5.0,Sam,AU0019,3.0,
105,AU,AU01,Survivor Australia: 2016,1.0,5.0,Matt,AU0020,6.0,
106,AU,AU01,Survivor Australia: 2016,1.0,5.0,Flick,AU0021,3.0,
107,AU,AU01,Survivor Australia: 2016,1.0,5.0,El,AU0022,0.0,
108,AU,AU01,Survivor Australia: 2016,1.0,5.0,Lee,AU0023,0.0,
109,AU,AU01,Survivor Australia: 2016,1.0,5.0,Kristie,AU0024,0.0,
110,AU,AU01,Survivor Australia: 2016,1.0,6.0,Barry,AU0005,5.0,
111,AU,AU01,Survivor Australia: 2016,1.0,6.0,Tegan,AU0006,3.0,
112,AU,AU01,Survivor Australia: 2016,1.0,6.0,Rohan,AU0007,0.0,
113,AU,AU01,Survivor Australia: 2016,1.0,6.0,Kat,AU0008,0.0,
114,AU,AU01,Survivor Australia: 2016,1.0,6.0,Andrew,AU0009,3.0,
115,AU,AU01,Survivor Australia: 2016,1.0,6.0,Craig,AU0010,4.0,
116,AU,AU01,Survivor Australia: 2016,1.0,6.0,Phoebe,AU0011,1.0,
117,AU,AU01,Survivor Australia: 2016,1.0,6.0,Conner,AU0012,5.0,
118,AU,AU01,Survivor Australia: 2016,1.0,6.0,Kate,AU0013,4.0,
119,AU,AU01,Survivor Australia: 2016,1.0,6.0,Nick,AU0014,7.0,
120,AU,AU01,Survivor Australia: 2016,1.0,6.0,Kylie,AU0015,0.0,
121,AU,AU01,Survivor Australia: 2016,1.0,6.0,Sue,AU0016,3.0,
122,AU,AU01,Survivor Australia: 2016,1.0,6.0,Jennah-Louise,AU0017,3.0,
123,AU,AU01,Survivor Australia: 2016,1.0,6.0,Brooke,AU0018,1.0,
124,AU,AU01,Survivor Australia: 2016,1.0,6.0,Sam,AU0019,5.0,
125,AU,AU01,Survivor Australia: 2016,1.0,6.0,Matt,AU0020,0.0,
126,AU,AU01,Survivor Australia: 2016,1.0,6.0,Flick,AU0021,2.0,
127,AU,AU01,Survivor Australia: 2016,1.0,6.0,El,AU0022,0.0,
128,AU,AU01,Survivor Australia: 2016,1.0,6.0,Lee,AU0023,3.0,
129,AU,AU01,Survivor Australia: 2016,1.0,6.0,Kristie,AU0024,3.0,
130,AU,AU01,Survivor Australia: 2016,1.0,7.0,Tegan,AU0006,9.0,
131,AU,AU01,Survivor Australia: 2016,1.0,7.0,Rohan,AU0007,0.0,
132,AU,AU01,Survivor Australia: 2016,1.0,7.0,Kat,AU0008,0.0,
133,AU,AU01,Survivor Australia: 2016,1.0,7.0,Andrew,AU0009,2.0,
134,AU,AU01,Survivor Australia: 2016,1.0,7.0,Craig,AU0010,1.0,
135,AU,AU01,Survivor Australia: 2016,1.0,7.0,Phoebe,AU0011,0.0,
136,AU,AU01,Survivor Australia: 2016,1.0,7.0,Conner,AU0012,5.0,
137,AU,AU01,Survivor Australia: 2016,1.0,7.0,Kate,AU0013,7.0,
138,AU,AU01,Survivor Australia: 2016,1.0,7.0,Nick,AU0014,5.0,
139,AU,AU01,Survivor Australia: 2016,1.0,7.0,Kylie,AU0015,1.0,
140,AU,AU01,Survivor Australia: 2016,1.0,7.0,Sue,AU0016,0.0,
141,AU,AU01,Survivor Australia: 2016,1.0,7.0,Jennah-Louise,AU0017,2.0,
142,AU,AU01,Survivor Australia: 2016,1.0,7.0,Brooke,AU0018,3.0,
143,AU,AU01,Survivor Australia: 2016,1.0,7.0,Sam,AU0019,5.0,
144,AU,AU01,Survivor Australia: 2016,1.0,7.0,Matt,AU0020,2.0,
145,AU,AU01,Survivor Australia: 2016,1.0,7.0,Flick,AU0021,3.0,
146,AU,AU01,Survivor Australia: 2016,1.0,7.0,El,AU0022,3.0,
147,AU,AU01,Survivor Australia: 2016,1.0,7.0,Lee,AU0023,4.0,
148,AU,AU01,Survivor Australia: 2016,1.0,7.0,Kristie,AU0024,0.0,
149,AU,AU01,Survivor Australia: 2016,1.0,8.0,Rohan,AU0007,6.0,
150,AU,AU01,Survivor Australia: 2016,1.0,8.0,Kat,AU0008,9.0,
151,AU,AU01,Survivor Australia: 2016,1.0,8.0,Andrew,AU0009,0.0,
152,AU,AU01,Survivor Australia: 2016,1.0,8.0,Craig,AU0010,4.0,
153,AU,AU01,Survivor Australia: 2016,1.0,8.0,Phoebe,AU0011,2.0,
154,AU,AU01,Survivor Australia: 2016,1.0,8.0,Conner,AU0012,0.0,
155,AU,AU01,Survivor Australia: 2016,1.0,8.0,Kate,AU0013,0.0,
156,AU,AU01,Survivor Australia: 2016,1.0,8.0,Nick,AU0014,3.0,
157,AU,AU01,Survivor Australia: 2016,1.0,8.0,Kylie,AU0015,0.0,
158,AU,AU01,Survivor Australia: 2016,1.0,8.0,Sue,AU0016,0.0,
159,AU,AU01,Survivor Australia: 2016,1.0,8.0,Jennah-Louise,AU0017,6.0,
160,AU,AU01,Survivor Australia: 2016,1.0,8.0,Brooke,AU0018,5.0,
161,AU,AU01,Survivor Australia: 2016,1.0,8.0,Sam,AU0019,1.0,
162,AU,AU01,Survivor Australia: 2016,1.0,8.0,Matt,AU0020,6.0,
163,AU,AU01,Survivor Australia: 2016,1.0,8.0,Flick,AU0021,1.0,
164,AU,AU01,Survivor Australia: 2016,1.0,8.0,El,AU0022,3.0,
165,AU,AU01,Survivor Australia: 2016,1.0,8.0,Lee,AU0023,4.0,
166,AU,AU01,Survivor Australia: 2016,1.0,8.0,Kristie,AU0024,1.0,
167,AU,AU01,Survivor Australia: 2016,1.0,9.0,Rohan,AU0007,5.0,
168,AU,AU01,Survivor Australia: 2016,1.0,9.0,Kat,AU0008,3.0,
169,AU,AU01,Survivor Australia: 2016,1.0,9.0,Andrew,AU0009,6.0,
170,AU,AU01,Survivor Australia: 2016,1.0,9.0,Craig,AU0010,6.0,
171,AU,AU01,Survivor Australia: 2016,1.0,9.0,Phoebe,AU0011,10.0,
172,AU,AU01,Survivor Australia: 2016,1.0,9.0,Conner,AU0012,1.0,
173,AU,AU01,Survivor Australia: 2016,1.0,9.0,Kate,AU0013,1.0,
174,AU,AU01,Survivor Australia: 2016,1.0,9.0,Nick,AU0014,1.0,
175,AU,AU01,Survivor Australia: 2016,1.0,9.0,Kylie,AU0015,0.0,
176,AU,AU01,Survivor Australia: 2016,1.0,9.0,Sue,AU0016,4.0,
177,AU,AU01,Survivor Australia: 2016,1.0,9.0,Jennah-Louise,AU0017,5.0,
178,AU,AU01,Survivor Australia: 2016,1.0,9.0,Brooke,AU0018,4.0,
179,AU,AU01,Survivor Australia: 2016,1.0,9.0,Sam,AU0019,0.0,
180,AU,AU01,Survivor Australia: 2016,1.0,9.0,Matt,AU0020,1.0,
181,AU,AU01,Survivor Australia: 2016,1.0,9.0,Flick,AU0021,1.0,
182,AU,AU01,Survivor Australia: 2016,1.0,9.0,El,AU0022,0.0,
183,AU,AU01,Survivor Australia: 2016,1.0,9.0,Lee,AU0023,2.0,
184,AU,AU01,Survivor Australia: 2016,1.0,9.0,Kristie,AU0024,4.0,
185,AU,AU01,Survivor Australia: 2016,1.0,10.0,Kat,AU0008,3.0,
186,AU,AU01,Survivor Australia: 2016,1.0,10.0,Andrew,AU0009,8.0,
187,AU,AU01,Survivor Australia: 2016,1.0,10.0,Craig,AU0010,4.0,
188,AU,AU01,Survivor Australia: 2016,1.0,10.0,Phoebe,AU0011,12.0,
189,AU,AU01,Survivor Australia: 2016,1.0,10.0,Conner,AU0012,0.0,
190,AU,AU01,Survivor Australia: 2016,1.0,10.0,Kate,AU0013,2.0,
191,AU,AU01,Survivor Australia: 2016,1.0,10.0,Nick,AU0014,0.0,
192,AU,AU01,Survivor Australia: 2016,1.0,10.0,Kylie,AU0015,0.0,
193,AU,AU01,Survivor Australia: 2016,1.0,10.0,Sue,AU0016,0.0,
194,AU,AU01,Survivor Australia: 2016,1.0,10.0,Jennah-Louise,AU0017,0.0,
195,AU,AU01,Survivor Australia: 2016,1.0,10.0,Brooke,AU0018,0.0,
196,AU,AU01,Survivor Australia: 2016,1.0,10.0,Sam,AU0019,0.0,
197,AU,AU01,Survivor Australia: 2016,1.0,10.0,Matt,AU0020,0.0,
198,AU,AU01,Survivor Australia: 2016,1.0,10.0,Flick,AU0021,0.0,
199,AU,AU01,Survivor Australia: 2016,1.0,10.0,El,AU0022,1.0,
200,AU,AU01,Survivor Australia: 2016,1.0,10.0,Lee,AU0023,3.0,
201,AU,AU01,Survivor Australia: 2016,1.0,10.0,Kristie,AU0024,1.0,
