,version,version_season,season_name,season,episode,day,tribe_status,tribe,castaway,immunity,vote,vote_event,vote_event_outcome,split_vote,nullified,tie,voted_out,order,vote_order,castaway_id,vote_id,voted_out_id
0,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Des,,Kat,,,,False,False,Des,1.0,1.0,AU0001,AU0008,AU0001
1,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Evan,,Des,,,,False,False,Des,1.0,1.0,AU0003,AU0001,AU0001
2,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Rohan,,Des,,,,False,False,Des,1.0,1.0,AU0007,AU0001,AU0001
3,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Kat,,Des,,,,False,False,Des,1.0,1.0,AU0008,AU0001,AU0001
4,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Phoebe,,Des,,,,False,False,Des,1.0,1.0,AU0011,AU0001,AU0001
5,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,El,,Des,,,,False,False,Des,1.0,1.0,AU0022,AU0001,AU0001
6,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Lee,,Des,,,,False,False,Des,1.0,1.0,AU0023,AU0001,AU0001
7,AU,AU01,Survivor Australia: 2016,1.0,1.0,2.0,Original,Aganoa,Kristie,,Des,,,,False,False,Des,1.0,1.0,AU0024,AU0001,AU0001
8,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Bianca,,Peter,,,,False,False,Bianca,2.0,1.0,AU0002,AU0004,AU0002
9,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Peter,,Kylie,,,,False,False,Bianca,2.0,1.0,AU0004,AU0015,AU0002
10,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Conner,,Bianca,,,,False,False,Bianca,2.0,1.0,AU0012,AU0002,AU0002
11,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Kylie,,Peter,,,,False,False,Bianca,2.0,1.0,AU0015,AU0004,AU0002
12,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Brooke,,Bianca,,,,False,False,Bianca,2.0,1.0,AU0018,AU0002,AU0002
13,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Sam,,Bianca,,,,False,False,Bianca,2.0,1.0,AU0019,AU0002,AU0002
14,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Matt,,Bianca,,,,False,False,Bianca,2.0,1.0,AU0020,AU0002,AU0002
15,AU,AU01,Survivor Australia: 2016,1.0,2.0,5.0,Original,Saanapu,Flick,,Bianca,,,,False,False,Bianca,2.0,1.0,AU0021,AU0002,AU0002
16,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Evan,,Kat,,,,False,False,Evan,3.0,1.0,AU0003,AU0008,AU0003
17,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Rohan,,Evan,,,,False,False,Evan,3.0,1.0,AU0007,AU0003,AU0003
18,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Kat,,Evan,,,,False,False,Evan,3.0,1.0,AU0008,AU0003,AU0003
19,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Phoebe,,Evan,,,,False,False,Evan,3.0,1.0,AU0011,AU0003,AU0003
20,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,El,,Evan,,,,False,False,Evan,3.0,1.0,AU0022,AU0003,AU0003
21,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Lee,,Kat,,,,False,False,Evan,3.0,1.0,AU0023,AU0008,AU0003
22,AU,AU01,Survivor Australia: 2016,1.0,3.0,8.0,Original,Aganoa,Kristie,,Evan,,,,False,False,Evan,3.0,1.0,AU0024,AU0003,AU0003
23,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Barry,,Nick,,,,False,False,Nick,4.0,1.0,AU0005,AU0014,AU0014
24,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Tegan,,Barry,,,,False,False,Nick,4.0,1.0,AU0006,AU0005,AU0014
25,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Andrew,,Nick,,,,False,False,Nick,4.0,1.0,AU0009,AU0014,AU0014
26,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Craig,,Nick,,,,False,False,Nick,4.0,1.0,AU0010,AU0014,AU0014
27,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Kate,,Barry,,,,False,False,Nick,4.0,1.0,AU0013,AU0005,AU0014
28,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Nick,,Barry,,,,False,False,Nick,4.0,1.0,AU0014,AU0005,AU0014
29,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Sue,,Nick,,,,False,False,Nick,4.0,1.0,AU0016,AU0014,AU0014
30,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Vavau,Jennah-Louise,,Nick,,,,False,False,Nick,4.0,1.0,AU0017,AU0014,AU0014
31,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Conner,,Flick,,,,False,True,Conner,5.0,1.0,AU0012,AU0021,AU0012
32,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Kylie,,Flick,,,,False,True,Conner,5.0,1.0,AU0015,AU0021,AU0012
33,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Brooke,,Conner,,,,False,True,Conner,5.0,1.0,AU0018,AU0012,AU0012
34,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Sam,,Flick,,,,False,True,Conner,5.0,1.0,AU0019,AU0021,AU0012
35,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Matt,,Conner,,,,False,True,Conner,5.0,1.0,AU0020,AU0012,AU0012
36,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Flick,,Conner,,,,False,True,Conner,5.0,1.0,AU0021,AU0012,AU0012
37,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Conner,,,Deadlock,Can't vote,,False,True,Conner,5.0,2.0,AU0012,,AU0012
38,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Kylie,,Flick,,,,False,True,Conner,5.0,2.0,AU0015,AU0021,AU0012
39,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Brooke,,Conner,,,,False,True,Conner,5.0,2.0,AU0018,AU0012,AU0012
40,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Sam,,Conner,,,,False,True,Conner,5.0,2.0,AU0019,AU0012,AU0012
41,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Matt,,Flick,,,,False,True,Conner,5.0,2.0,AU0020,AU0021,AU0012
42,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Flick,,,Deadlock,Can't vote,,False,True,Conner,5.0,2.0,AU0021,,AU0012
43,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Conner,,,Deadlock,Can't vote,,False,False,Conner,5.0,3.0,AU0012,,AU0012
44,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Kylie,,Conner,,,,False,False,Conner,5.0,3.0,AU0015,AU0012,AU0012
45,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Brooke,,Conner,,,,False,False,Conner,5.0,3.0,AU0018,AU0012,AU0012
46,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Sam,,Conner,,,,False,False,Conner,5.0,3.0,AU0019,AU0012,AU0012
47,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Matt,,Conner,,,,False,False,Conner,5.0,3.0,AU0020,AU0012,AU0012
48,AU,AU01,Survivor Australia: 2016,1.0,5.0,12.0,Original,Saanapu,Flick,,,Deadlock,Can't vote,,False,False,Conner,5.0,3.0,AU0021,,AU0012
49,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Barry,,Sue,,,,False,False,Barry,6.0,1.0,AU0005,AU0016,AU0005
50,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Andrew,,Barry,,,,False,False,Barry,6.0,1.0,AU0009,AU0005,AU0005
51,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Craig,,Barry,,,,False,False,Barry,6.0,1.0,AU0010,AU0005,AU0005
52,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Conner,,Barry,,,,False,False,Barry,6.0,1.0,AU0012,AU0005,AU0005
53,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Kate,,Barry,,,,False,False,Barry,6.0,1.0,AU0013,AU0005,AU0005
54,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Sue,,Barry,,,,False,False,Barry,6.0,1.0,AU0016,AU0005,AU0005
55,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Jennah-Louise,,Barry,,,,False,False,Barry,6.0,1.0,AU0017,AU0005,AU0005
56,AU,AU01,Survivor Australia: 2016,1.0,6.0,14.0,Original,Vavau,Sam,,Barry,,,,False,False,Barry,6.0,1.0,AU0019,AU0005,AU0005
57,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Tegan,,Kylie,,,,False,True,Tegan,7.0,1.0,AU0006,AU0015,AU0006
58,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Nick,,Kylie,,,,False,True,Tegan,7.0,1.0,AU0014,AU0015,AU0006
59,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Kylie,,Tegan,,,,False,True,Tegan,7.0,1.0,AU0015,AU0006,AU0006
60,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Brooke,,Nick,,,,False,True,Tegan,7.0,1.0,AU0018,AU0014,AU0006
61,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Matt,,Tegan,,,,False,True,Tegan,7.0,1.0,AU0020,AU0006,AU0006
62,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Flick,,Nick,,,,False,True,Tegan,7.0,1.0,AU0021,AU0014,AU0006
63,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Tegan,,,Deadlock,Can't vote,,False,False,Tegan,7.0,2.0,AU0006,,AU0006
64,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Nick,,,Deadlock,Can't vote,,False,False,Tegan,7.0,2.0,AU0014,,AU0006
65,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Kylie,,Tegan,,,,False,False,Tegan,7.0,2.0,AU0015,AU0006,AU0006
66,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Brooke,,Tegan,,,,False,False,Tegan,7.0,2.0,AU0018,AU0006,AU0006
67,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Matt,,Tegan,,,,False,False,Tegan,7.0,2.0,AU0020,AU0006,AU0006
68,AU,AU01,Survivor Australia: 2016,1.0,7.0,16.0,Swapped,Saanapu,Flick,,Tegan,,,,False,False,Tegan,7.0,2.0,AU0021,AU0006,AU0006
69,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Rohan,,Kat,,,,False,False,Rohan,8.0,1.0,AU0007,AU0008,AU0007
70,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Kat,,Rohan,,,,False,False,Rohan,8.0,1.0,AU0008,AU0007,AU0007
71,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Andrew,,Phoebe,,,,True,False,Rohan,8.0,1.0,AU0009,AU0011,AU0007
72,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Craig,,Phoebe,,,,True,False,Rohan,8.0,1.0,AU0010,AU0011,AU0007
73,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Phoebe,Hidden,Sue,,,,False,False,Rohan,8.0,1.0,AU0011,AU0016,AU0007
74,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Conner,,Phoebe,,,,True,False,Rohan,8.0,1.0,AU0012,AU0011,AU0007
75,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Kate,,Phoebe,,,,True,False,Rohan,8.0,1.0,AU0013,AU0011,AU0007
76,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Sue,,Phoebe,,,,True,False,Rohan,8.0,1.0,AU0016,AU0011,AU0007
77,AU,AU01,Survivor Australia: 2016,1.0,9.0,21.0,Swapped_2,Vavau,Kristie,,Rohan,,,,False,False,Rohan,8.0,1.0,AU0024,AU0007,AU0007
78,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Kat,,Andrew,,,,False,False,Kat,9.0,1.0,AU0008,AU0009,AU0008
79,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Andrew,,Kat,,,,False,False,Kat,9.0,1.0,AU0009,AU0008,AU0008
80,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Craig,,Kat,,,,False,False,Kat,9.0,1.0,AU0010,AU0008,AU0008
81,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Phoebe,,Kat,,,,False,False,Kat,9.0,1.0,AU0011,AU0008,AU0008
82,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Conner,,Kat,,,,False,False,Kat,9.0,1.0,AU0012,AU0008,AU0008
83,AU,AU01,Survivor Australia: 2016,1.0,10.0,23.0,Swapped_2,Vavau,Kate,,Kat,,,,False,False,Kat,9.0,1.0,AU0013,AU0008,AU0008
